,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
122,123,AC-195,"AC-CTI-B (8.35), AC-CTI-T (8.35), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs)",8.96,8.45,10.0,8.45,8.45,8.2,8.35,8.35,AC,CTI-B,123,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
123,124,AC-312,"AC-CTI-B (8.32), AC-AIASI-B (8.32), AC-CTI-T (8.32), AC-AIASI-T (8.32)",8.81,9.1,8.85,8.5,9.1,8.2,8.32,8.32,AC,CTI-B,124,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
124,125,AC-353,"AC-CTI-B (8.29), AC-CTI-T (8.29), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-T (abs), ETTI-IETTIEN-B (abs), IEEIA-IEN-B (abs)",8.66,8.95,9.05,8.0,8.95,8.2,8.29,8.29,AC,CTI-B,125,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
125,126,AC-41,"AC-CTI-B (8.27), AC-AIASI-B (8.27), ETTI-IETTI-B (abs)",9.76,10.0,9.7,9.6,10.0,7.9,8.27,8.27,AC,CTI-B,126,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
126,127,AC-356,"AC-CTI-B (8.27), AC-AIASI-B (8.27), AC-CTI-T (8.27), AC-AIASI-T (8.27)",9.76,9.8,10.0,9.5,9.8,7.9,8.27,8.27,AC,CTI-B,127,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
127,128,AC-124,"AC-CTI-B (8.25), AC-CTI-T (8.25), AC-AIASI-B (8.25), AC-AIASI-T (8.25), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs), IEEIA-IMGM-B (abs), IEEIA-IMGM-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs)",9.65,9.8,9.85,9.3,9.8,7.9,8.25,8.25,AC,CTI-B,128,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
128,129,AC-173,"AC-CTI-B (8.24), AC-AIASI-B (8.24)",8.40,8.55,8.9,7.75,8.55,8.2,8.24,8.24,AC,CTI-B,129,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
129,130,AC-33,"AC-CTI-B (8.24), AC-AIASI-B (8.24), AC-CTI-T (8.24), AC-AIASI-T (8.24), MEC-MR-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), MEC-IMEC-B (abs), MEC-MR-T (abs), MEC-IMEC-T (abs), IEEIA-IE-T (abs), IEEIA-IEN-T (abs)",9.63,9.95,9.65,9.3,9.95,7.9,8.24,8.24,AC,CTI-B,130,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
130,131,AC-151,"AC-CTI-B (8.24), AC-AIASI-B (8.24), AC-CTI-T (8.24), AC-AIASI-T (8.24), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs)",9.63,9.95,9.85,9.1,9.95,7.9,8.24,8.24,AC,CTI-B,131,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
131,132,AC-83,"AC-CTI-B (8.22), AC-CTI-T (8.22), AC-AIASI-B (8.22), AC-AIASI-T (8.22), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.53,9.85,10.0,8.75,9.85,7.9,8.22,8.22,AC,CTI-B,132,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
132,133,AC-104,"AC-CTI-B (8.21), AC-AIASI-B (8.21), AC-CTI-T (8.21), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.45,9.65,9.8,8.9,9.65,7.9,8.21,8.21,AC,CTI-B,133,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
